ticker,comname,year,ESGCombinedScore,EnvironmentPillarScore,SocialPillarScore,GovernancePillarScore,ESGCControversiesScore,ESGEmissionsScore,ESGWorkforceScore,ESGHumanRightsScore,ESGCommunityScore,ESGManagementScore,ESGShareholdersScore,TobaccoProducerFlag,AlcoholProducerFlag,GamblingOperatorOrProducerFlag,MilitaryWeaponsOrPersonnelFlag,NuclearWeaponsFlag,ThermalCoalProducerFlag,OilAndGasProducerFlag,OilAndGasProcessingTransportationDistributionFlag
COF,CAPITAL ONE FINANCIAL CORPORATION,2021,57.204711239999995,61.23111436000001,77.81018934000001,75.59261629000001,39.784946240000004,75.48611111,78.75131165,55.053763440000004,97.21930745,80.39469893,67.37251513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COF,CAPITAL ONE FINANCIAL CORPORATION,2022,74.13247942,60.76662158,76.85460017,75.72834509,100.0,82.63157894999999,78.25870646999999,55.16934046000001,94.7761194,77.85020804,68.28016644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COF,CAPITAL ONE FINANCIAL CORPORATION,2023,39.97365829,62.897628000000005,71.7176025,73.82463489,8.741258740000001,87.48584371,70.3722334,48.686371099999995,92.40442655999999,74.95781777,69.38976378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COF,CAPITAL ONE FINANCIAL CORPORATION,2024,41.71230874,60.387902819999994,70.50861644000001,84.28028141,9.41558442,86.56633221999999,70.80838323,42.197452229999996,92.36526946,83.49095967,93.69958275,,,,,,,,
COF,CENTURIA OFFICE REIT,2020,7.813531040000001,2.00949374,21.01392853,2.19120135,100.0,0.46439628,6.7679558,0.0,25.41436464,1.64974619,5.456852789999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COF,CENTURIA OFFICE REIT,2021,10.54984367,10.38062219,19.65550165,2.19806763,100.0,21.26760563,4.60526316,0.0,24.21052632,1.8115942,4.9516908200000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COF,CENTURIA OFFICE REIT,2022,21.97407031,28.3515085,29.017919510000002,7.92033401,100.0,42.31707317,23.647058819999998,24.48275862,28.70588235,6.990521330000001,2.01421801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COF,CENTURIA OFFICE REIT,2023,25.154151149999997,27.72070518,39.60506015,8.59204021,100.0,39.05109489,22.86729858,21.29032258,61.611374409999996,8.84433962,1.53301887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COF,CENTURIA OFFICE REIT,2024,23.14439632,31.12741487,27.77999896,9.47855886,100.0,37.350835319999995,28.220140519999998,22.61538462,23.65339578,8.782201409999999,5.97189696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COF,CENTURIA OFFICE REIT,2025,23.26219183,31.07340711,27.28999595,10.3674468,100.0,37.22358722,27.89855072,22.01257862,23.1884058,10.72289157,4.2168674699999995,,,,,,,,
COP,CONOCOPHILLIPS,2020,67.591422,66.19322023000001,77.88223577,51.290166719999995,100.0,83.7254902,99.81481481,69.94680851,97.96296296,31.251871819999998,87.16681641000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
COP,CONOCOPHILLIPS,2021,42.496298599999996,66.60223563,76.37237443000001,38.79619142,20.833333330000002,84.74264706,98.38709677,66.90821256,98.02867384,17.991933160000002,69.10112360000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
COP,CONOCOPHILLIPS,2022,46.47116431,66.54630230000001,73.94925447,38.77309684,29.8245614,85.32608696,98.40989399,67.03539823,85.68904594,16.43550624,74.24410541,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
COP,CONOCOPHILLIPS,2023,37.46667005,61.69041663,78.85527913,39.474845959999996,11.267605629999998,75.09090909,99.10394265,63.852813850000004,87.27598566,17.3087739,75.04218223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
COP,CONOCOPHILLIPS,2024,63.25810867,60.73205691,78.29988924999999,40.13847586,80.0,75.91911765,99.0942029,62.71551724,87.5,17.677329620000002,77.1488178,,,,,,,,
COP,CompuGroup Medical SE & Co. KGaA,2020,35.83007637,13.663282569999998,42.023959500000004,37.14649292,100.0,0.0,75.77319588,48.45505618,29.74963181,29.52898551,44.38405797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,CompuGroup Medical SE & Co. KGaA,2021,36.07847555,13.76117497,43.724098309999995,36.18993502,100.0,0.0,77.34986945,43.952483799999996,35.44386423,23.83512545,60.03584229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,CompuGroup Medical SE & Co. KGaA,2022,35.31905387,11.77228233,41.21068815,37.30973359,100.0,0.0,73.83654938000001,40.418118469999996,32.34960272,32.07885305,39.24731183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,CompuGroup Medical SE & Co. KGaA,2023,45.692112540000004,23.5648342,59.19204254,40.70535633,100.0,13.35616438,79.4481982,92.22756410000001,56.25,30.78291815,62.455516010000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP,CompuGroup Medical SE & Co. KGaA,2024,42.18991486,28.14573186,57.06497649,33.594088909999996,100.0,34.07258065,71.1123723,91.33858268,55.33484677,27.919708030000002,49.45255474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COR,CORESITE REALTY CORPORATION,2020,39.10772441,32.42445973,55.98220104,27.00628931,100.0,40.61488673,42.338709679999994,0.0,95.29569892,5.79514825,69.04761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
